taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,neonStatus,nameAccordingToID
SCAB,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,aberti,,Sciurus aberti,species,non-target,Wilson&Reeder2005
SCCN,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,canadensis,,Sciurus canadensis,species,non-target,Wilson&Reeder2005
SCCA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,,Sciurus carolinensis,species,non-target,Wilson&Reeder2005
SCGR,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,griseus,,Sciurus griseus,species,non-target,Wilson&Reeder2005
SCNI,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,niger,,Sciurus niger,species,non-target,Wilson&Reeder2005
SCSP,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,sp.,,Sciurus sp.,genus,non-target,Wilson&Reeder2005
SIAR,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,arizonae,,Sigmodon arizonae,species,target,Wilson&Reeder2005
SIFU,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,fulviventer,,Sigmodon fulviventer,species,target,Wilson&Reeder2005
SIHI,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,,Sigmodon hispidus,species,target,Wilson&Reeder2005
SIOC,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,ochrognathus,,Sigmodon ochrognathus,species,target,Wilson&Reeder2005
SISP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,sp.,,Sigmodon sp.,genus,target,Wilson&Reeder2005
SOAR,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,arcticus,,Sorex arcticus,species,opportunistic,Wilson&Reeder2005
SOAZ,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,arizonae,,Sorex arizonae,species,opportunistic,Wilson&Reeder2005
SOBA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,bairdi,,Sorex bairdi,species,opportunistic,Wilson&Reeder2005
SOBE,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,bendirii,,Sorex bendirii,species,opportunistic,Wilson&Reeder2005
SOCI,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,cinereus,,Sorex cinereus,species,opportunistic,Wilson&Reeder2005
SODI,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,dispar,,Sorex dispar,species,opportunistic,Wilson&Reeder2005
SOFU,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,fumeus,,Sorex fumeus,species,opportunistic,Wilson&Reeder2005
SOHA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,haydeni,,Sorex haydeni,species,opportunistic,Wilson&Reeder2005
SOHO,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,hoyi,,Sorex hoyi,species,opportunistic,Wilson&Reeder2005
SOLO,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,longirostris,,Sorex longirostris,species,opportunistic,Wilson&Reeder2005
SOLY,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,lyelli,,Sorex lyelli,species,opportunistic,Wilson&Reeder2005
SOME,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,merriami,,Sorex merriami,species,opportunistic,Wilson&Reeder2005
SOMO,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,monticolus,,Sorex monticolus,species,opportunistic,Wilson&Reeder2005
SONA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,nanus,,Sorex nanus,species,opportunistic,Wilson&Reeder2005
SOOR,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,ornatus,,Sorex ornatus,species,opportunistic,Wilson&Reeder2005
SOPA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,palustris,,Sorex palustris,species,opportunistic,Wilson&Reeder2005
SOPR,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,preblei,,Sorex preblei,species,opportunistic,Wilson&Reeder2005
SOTR,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,trowbridgii,,Sorex trowbridgii,species,opportunistic,Wilson&Reeder2005
SOTU,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,tundrensis,,Sorex tundrensis,species,opportunistic,Wilson&Reeder2005
SOUG,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,ugyunak,,Sorex ugyunak,species,opportunistic,Wilson&Reeder2005
SOVA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,vagrans,,Sorex vagrans,species,opportunistic,Wilson&Reeder2005
SOYU,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,yukonicus,,Sorex yukonicus,species,opportunistic,Wilson&Reeder2005
SOSP,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,sp.,,Sorex sp.,genus,opportunistic,Wilson&Reeder2005
SPAR,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,armatus,,Spermophilus armatus,species,opportunistic,Wilson&Reeder2005
SPBE,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,beecheyi,,Spermophilus beecheyi,species,opportunistic,Wilson&Reeder2005
SPBD,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,beldingi,,Spermophilus beldingi,species,opportunistic,Wilson&Reeder2005
SPEL,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,elegans,,Spermophilus elegans,species,opportunistic,Wilson&Reeder2005
SPFR,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,franklinii,,Spermophilus franklinii,species,opportunistic,Wilson&Reeder2005
SPLA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,lateralis,,Spermophilus lateralis,species,opportunistic,Wilson&Reeder2005
SPMO,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,mollis,,Spermophilus mollis,species,opportunistic,Wilson&Reeder2005
SPPA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,parryii,,Spermophilus parryii,species,opportunistic,Wilson&Reeder2005
SPRI,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,richardsonii,,Spermophilus richardsonii,species,opportunistic,Wilson&Reeder2005
SPSA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,saturatus,,Spermophilus saturatus,species,opportunistic,Wilson&Reeder2005
SPSP,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,spilosoma,,Spermophilus spilosoma,species,opportunistic,Wilson&Reeder2005
SPTE,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,tereticaudus,,Spermophilus tereticaudus,species,opportunistic,Wilson&Reeder2005
SPTR,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,tridecemlineatus,,Spermophilus tridecemlineatus,species,opportunistic,Wilson&Reeder2005
SPVA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,variegatus,,Spermophilus variegatus,species,opportunistic,Wilson&Reeder2005
SMSP,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,sp.,,Spermophilus sp.,genus,opportunistic,Wilson&Reeder2005
SYAQ,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,aquaticus,,Sylvilagus aquaticus,species,non-target,Wilson&Reeder2005
SYAU,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,audubonii,,Sylvilagus audubonii,species,non-target,Wilson&Reeder2005
SYBA,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,bachmani,,Sylvilagus bachmani,species,non-target,Wilson&Reeder2005
