Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D1,elaviv,Elaphropus vivax,,Bousquet 2012,
D1,elaxan,Elaphropus xanthopus,,Bousquet 2012,
D1,elllep,Ellipsoptera lepida,,Bousquet 2012,
D1,ellmar,Ellipsoptera marginata,,Bousquet 2012,
D1,ellpur,Ellipsoptera puritana,,Bousquet 2012,TRUE
D1,eucvar,Eucaerus varicornis,,Bousquet 2012,
D1,euppub,Euphorticus pubescens,,Bousquet 2012,
D1,galbic,Galerita bicolor,,Bousquet 2012,
D1,galjan,Galerita janus,,Bousquet 2012,
D1,gashon,Gastrellarius honestus,,Bousquet 2012,
D1,geoinc,Geopinus incrassatus,,Bousquet 2012,
D1,habdor1,Habroscelimorpha dorsalis dorsalis,,Bousquet 2012,TRUE
D1,haract,Harpalus actiosus,,Bousquet 2012,
D1,haraff,Harpalus affinis,,Bousquet 2012,
D1,harbal,Harpalus balli,,Bousquet 2012,TRUE
D1,harcal,Harpalus caliginosus,,Bousquet 2012,
D1,harcom,Harpalus compar,,Bousquet 2012,
D1,harerr,Harpalus erraticus,,Bousquet 2012,
D1,harery,Harpalus erythropus,,Bousquet 2012,
D1,harfau,Harpalus faunus,,Bousquet 2012,
D1,harful,Harpalus fulvilabris,,Bousquet 2012,
D1,harfus,Harpalus fuscipalpis,,Bousquet 2012,
D1,hargra,Harpalus gravis,,Bousquet 2012,
D1,harher,Harpalus herbivagus,,Bousquet 2012,
D1,harind1,Harpalus indianus,,Bousquet 2012,
D1,harind2,Harpalus indigens,,Bousquet 2012,
D1,harinn,Harpalus innocuus,,Bousquet 2012,
D1,harlae,Harpalus laevipes,,Bousquet 2012,
D1,harlat,Harpalus laticeps,,Bousquet 2012,
D1,harlew,Harpalus lewisii,,Bousquet 2012,
D1,harmeg,Harpalus megacephalus,,Bousquet 2012,
D1,haropa,Harpalus opacipennis,,Bousquet 2012,
D1,harpar,Harpalus paratus,,Bousquet 2012,
D1,harpen,Harpalus pensylvanicus,,Bousquet 2012,
D1,harple,Harpalus plenalis,,Bousquet 2012,
D1,harpro1,Harpalus protractus,,Bousquet 2012,
D1,harpro2,Harpalus providens,,Bousquet 2012,
D1,harrev,Harpalus reversus,,Bousquet 2012,
D1,harrub,Harpalus rubripes,,Bousquet 2012,
D1,harruf,Harpalus rufipes,,Bousquet 2012,
D1,harsol,Harpalus solitaris,,Bousquet 2012,
D1,harsom,Harpalus somnulentus,,Bousquet 2012,
D1,harspa,Harpalus spadiceus,,Bousquet 2012,
D1,harvag,Harpalus vagans,,Bousquet 2012,
D1,helcla,Helluomorphoides clairvillei,,Bousquet 2012,
D1,helfer,Helluomorphoides ferrugineus,,Bousquet 2012,
D1,helnig,Helluomorphoides nigripennis,,Bousquet 2012,
D1,helpra1,Helluomorphoides praeustus bicolor,,Bousquet 2012,
D1,horspe,Horologion speokoites,,Bousquet 2012,TRUE
D1,lacpar,Lachnocrepis parallela,,Bousquet 2012,
D1,laeter,Laemostenus terricola terricola,,Bousquet 2012,
D1,lebabd2,Lebia abdominalis,,Bousquet 2012,
D1,lebana,Lebia analis,,Bousquet 2012,
D1,lebatr2,Lebia atriventris,,Bousquet 2012,
D1,lebbiv,Lebia bivittata,,Bousquet 2012,
D1,lebcol,Lebia collaris,,Bousquet 2012,
D1,lebfus,Lebia fuscata,,Bousquet 2012,
