"","taxon_id","spp_id","source_id","scientific_name","genus","subgenus","species","subspecies","authority_name","authority_year","itis_number","common_name"
"739","herps","lit_cat2",NA,"Lithobates catesbeiana","Lithobates",NA,"catesbeiana",NA,NA,NA,NA,"""American bullfrog"
"740","herps","lit_cat","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates catesbeianus","Lithobates",NA,"catesbeianus",NA,"Shaw",1802,NA,"American Bullfrog"
"741","herps","lit_chi","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates chiricahuensis","Lithobates",NA,"chiricahuensis",NA,"Platz and Mecham",1979,NA,"Chiricahua Leopard Frog"
"742","herps","lit_cla","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates clamitans","Lithobates",NA,"clamitans",NA,"Latreille",1801,NA,"Green Frog"
"743","herps","lit_cla2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates clamitans clamitans","Lithobates",NA,"clamitans","clamitans","Latreille",1801,NA,"Bronze Frog"
"744","herps","lit_cla3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates clamitans melanota","Lithobates",NA,"clamitans","melanota","Rafinesque",1820,NA,"Northern Green Frog"
"745","herps","lit_fis","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates fisheri","Lithobates",NA,"fisheri",NA,"Stejneger",1893,NA,"Vegas Valley Leopard Frog extinct)"
"746","herps","lit_gry","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates grylio","Lithobates",NA,"grylio",NA,"Stejneger",1901,NA,"Pig Frog"
"747","herps","lit_hec","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates heckscheri","Lithobates",NA,"heckscheri",NA,"Wright",1924,NA,"River Frog"
"748","herps","lit_oka","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates okaloosae","Lithobates",NA,"okaloosae",NA,"Moler",1985,NA,"Florida Bog Frog"
"749","herps","lit_onc","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates onca","Lithobates",NA,"onca",NA,"Cope",1875,NA,"Relict Leopard Frog"
"750","herps","lit_pal","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates palustris","Lithobates",NA,"palustris",NA,"LeConte",1825,NA,"Pickerel Frog"
"751","herps","lit_sep","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates septentrionalis","Lithobates",NA,"septentrionalis",NA,"Baird",1854,NA,"Mink Frog"
"752","herps","lit_sph","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates sphenocephalus","Lithobates",NA,"sphenocephalus",NA,"Cope",1886,NA,"Southern Leopard Frog"
"753","herps","lit_sph2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates sphenocephalus sphenocephalus","Lithobates",NA,"sphenocephalus","sphenocephalus","Cope",1886,NA,"Florida Leopard Frog"
"754","herps","lit_sph3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates sphenocephalus utricularius","Lithobates",NA,"sphenocephalus","utricularius","Harlan",1825,NA,"Southern Leopard Frog"
"755","herps","lit_syl","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates sylvaticus","Lithobates",NA,"sylvaticus",NA,"LeConte",1825,NA,"Wood Frog"
"756","herps","lit_tar","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates tarahumarae","Lithobates",NA,"tarahumarae",NA,"Boulenger",1917,NA,"Tarahumara Frog"
"757","herps","lit_vir","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates virgatipes","Lithobates",NA,"virgatipes",NA,"Cope",1891,NA,"Carpenter Frog"
"758","herps","mab_mul","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Mabuya multifasciata","Mabuya",NA,"multifasciata",NA,"Kuhl",1820,NA,"Brown Mabuya"
"759","herps","mac_tem","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Macrochelys temminckii","Macrochelys",NA,"temminckii",NA,"Troost in Harlan",1835,NA,"Alligator Snapping Turtle"
"760","herps","mag_exi1","http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/","Magliophis exiguus exiguus","Magliophis",NA,"exiguus","exiguus","Cope",1863,"Ground Snake",NA
