family,taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id
Didelphidae,mammal,did_vir,Wilson_2005,Didelphis virginiana,Didelphis,,virginiana,,Kerr,1792,,Virginia Opossum,1
Heteromyidae,mammal,dip_des,Wilson_2005,Dipodomys deserti,Dipodomys,,deserti,,Stephens,1887,,Desert Kangaroo Rat,1
Heteromyidae,mammal,dip_hee,Wilson_2005,Dipodomys heermanni,Dipodomys,,heermanni,,Le Conte,1853,,Heermann's Kangaroo Rat,1
Heteromyidae,mammal,dip_mer,Wilson_2005,Dipodomys merriami,Dipodomys,,merriami,,Mearns,1897,,NULL,1
Heteromyidae,mammal,dip_mic,Wilson_2005,Dipodomys microps,Dipodomys,,microps,,Merriam,1904,,Chisel-toothed Kangaroo Rat,1
Heteromyidae,mammal,dip_ord,Wilson_2005,Dipodomys ordii,Dipodomys,,ordii,,Woodhouse,1853,,Ord's Kangaroo Rat,1
Heteromyidae,mammal,dip_spe,Wilson_2005,Dipodomys spectabilis,Dipodomys,,spectabilis,,Merriam,1890,,Banner-tailed Kangaroo Rat,1
Vespertilionidae,mammal,ept_fus,Wilson_2005,Eptesicus fuscus,Eptesicus,,fuscus,,Beauvois,1796,,Big Brown Bat,1
Erethizontidae,mammal,ere_dor,Wilson_2005,Erethizon dorsata,Erethizon,,dorsata,,Linnaeus,1758,,North American Porcupine,1
Vespertilionidae,mammal,eud_mac,Wilson_2005,Euderma maculatum,Euderma,,maculatum,,J. A. Allen,1891,,Spotted Bat,1
Molossidae,mammal,eum_per,Wilson_2005,Eumops perotis,Eumops,,perotis,,Schinz,1821,,Greater Bonneted Bat,1
Molossidae,mammal,eum_und,Wilson_2005,Eumops underwoodi,Eumops,,underwoodi,,Goodwin,1940,,Underwood's Bonneted Bat,1
Geomyidae,mammal,geo_are,Wilson_2005,Geomys arenarius,Geomys,,arenarius,,Merriam,1895,,Desert Pocket Gopher.,1
