unaccepted_synonym,accepted_synonym
Vulpes lagopus,Alopex lagopus
Canis lagopus argenteus,Alopex lagopus argenteus
Vulpes beringensis,Alopex lagopus beringensis
Alopex beringensis,Alopex lagopus beringensis
Vulpes caerulea,Alopex lagopus caerulea
Canis fuliginosus,Alopex lagopus fuliginosus
Alopex groenlandicus,Alopex lagopus groenlandicus
Vulpes hallensis,Alopex lagopus hallensis
Vulpes lagopus innuitus,Alopex lagopus innuitus
Vulpes arctica,Alopex lagopus lagopus
Vulpes lagopus lagopus,Alopex lagopus lagopus
Vulpes pribilofensis,Alopex lagopus pribilofensis
Vulpes lagopus pribilofensis,Alopex lagopus pribilofensis
Alopex beringensis semenovi ?,Alopex lagopus semenovi
Vulpes alopex sibiricus,Alopex lagopus sibiricus
Vulpes lagopus ungava,Alopex lagopus ungava
Simia beelzebul,Alouatta belzebul
Alouatta discolor,Alouatta belzebul discolor
Alouatta ululata,Alouatta belzebul ululata
Stentor caraya,Alouatta caraya
Alouatta nigra,Alouatta caraya
Mycetes barbatus,Alouatta caraya barbatus
Alouatta faunus,Alouatta caraya faunus
Alouatta villosa coibensis,Alouatta coibensis
Alouatta palliata trabeata,Alouatta coibensis trabeata
Mycetes fuscus,Alouatta fusca
Alouatta guariba beniensis,Alouatta fusca beniensis
Mycetes bicolor,Alouatta fusca bicolor
Alouatta guariba clamitans,Alouatta fusca clamitans
Alouatta guariba guariba,Alouatta fusca fusca
Alouatta guariba,Alouatta fusca guariba
Alouatta seniculus macconnelli,Alouatta macconnelli
Alouatta belzebul nigerrima,Alouatta nigerrima
Mycetes palliatus,Alouatta palliata
Alouatta aequatorialis,Alouatta palliata aequatorialis
Alouatta inclamax,Alouatta palliata inclamax
Alouatta inconsonans,Alouatta palliata inconsonans
Alouatta matagalpae,Alouatta palliata matagalpae
Alouatta villosa pigra,Alouatta pigra
Alouatta villosa,Alouatta pigra villosa
Alouatta seniculus sara,Alouatta sara
Mycetes seniculus,Alouatta seniculus
Aluatta sejticula,Alouatta seniculus
Alouatta arctoidea,Alouatta seniculus arctoidea
Mycetes auratus,Alouatta seniculus auratus
Alouatta seniculus caucensis,Alouatta seniculus caaucensis
Mycetes chrysurus,Alouatta seniculus chrysurus
Alouatta seniculus insularis,Alouatta seniculus insulanus
Alouatta juara,Alouatta seniculus juara
Mycetes laniger,Alouatta seniculus laniger
Alouatta puruensis,Alouatta seniculus puruensis
Mycetes stramineus,Alouatta seniculus straminea
