unaccepted_synonym,accepted_synonym
Pytimys kaznakovi,Alticola stoliczkanus kaznakovi
Microtus lama,Alticola stoliczkanus lama
Microtus nanschanicus,Alticola stoliczkanus nanschanicus
Alticola stoliczkanus stracheyi,Alticola stracheyi
Arvicola stracheyi,Alticola stracheyi
Alticola bhatnagari,Alticola stracheyi bhatnagari
Microtus cricetulus,Alticola stracheyi cricetulus
Microtus strelzowi,Alticola strelzowi
Mus alliarius,Alticola strelzowi alliarius
Microtus strelzowi desertorum,Alticola strelzowi desertorum
Alticola turnicus,Alticola tuvinicus
Alticola khubsugulensis,Alticola tuvinicus khubsugulensis
Alticola kosogol,Alticola tuvinicus kosogol
Amblyrhiza latidens,Amblyrhiza inundata latidens
Amblyrhiza longidens,Amblyrhiza inundata longidens
Amblyrhiza quadrans,Amblyrhiza inundata quadridens
Amblysomus iris corriae,Amblysomus corriae
Amblysomus hottentotus devilliersi,Amblysomus corriae devilliersi
Chrysochloris affinis,Amblysomus hottentotus affinis
Chrysochloris hottentota albifrons,Amblysomus hottentotus albifrons
Chrysochloris albirostris,Amblysomus hottentotus albirostris
Amblysomus garneri,Amblysomus hottentotus garneri
Chrysochloris holosericea,Amblysomus hottentotus holosericea
Chrysochloris rutilans,Amblysomus hottentotus rutilans
Amblysomus swellendamensis,Amblysomus hottentotus swellendamensis
Amblysomus hottentotus iris,Amblysomus iris
Amblysomus hottentotus littoralis,Amblysomus iris littoralis
Amblysomus hottentotus marleyi,Amblysomus marleyi
Amblysomus hottentotus robustus,Amblysomus robustus
Amblysomus iris septentrionalis,Amblysomus septentrionalis
Ametrida minor,Ametrida centurio minor
Gerbillus imbellis,Ammodillus imbellis
Cervicapra clarkei,Ammodorcas clarkei
Citellus harrisi,Ammospermophilus harrisii
Citellus harrisii harrisii,Ammospermophilus harrisii
Spermophilus harrisii,Ammospermophilus harrisii
Tamias harrisi,Ammospermophilus harrisii
Citellus harrisii harrisii,Ammospermophilus harrisii harrisii
Spermophilus harrisii saxicola,Ammospermophilus harrisii saxicolus
Citellus insularis,Ammospermophilus insularis
Spermophilus interpres,Ammospermophilus interpres
Citellus interpres,Ammospermophilus interpres
Citellus leucurus,Ammospermophilus leucurus
Tamias leucurus,Ammospermophilus leucurus
Citellus leucurus canfieldiae,Ammospermophilus leucurus canfieldiae
Spermophilus leucurus cinnamomeus,Ammospermophilus leucurus cinamomeus
Tamias leucurus cinnamomeus,Ammospermophilus leucurus cinamomeus
Citellus leucurus extimus,Ammospermophilus leucurus extimus
Citellus leucurus leucurus,Ammospermophilus leucurus leucurus
Spermophilus leucurus peninsulae,Ammospermophilus leucurus peninsulae
Tamias leucurus peninsulae,Ammospermophilus leucurus peninsulae
Citellus leucurus pennipes,Ammospermophilus leucurus pennipes
Citellus leucurus tersus,Ammospermophilus leucurus tersus
Citellus vinnulus,Ammospermophilus leucurus vinnulus
Spermophilus nelsoni,Ammospermophilus nelsoni
Citellus amplus,Ammospermophilus nelsoni amplus
Citellus nelsoni nelsoni,Ammospermophilus nelsoni nelsoni
Capra lervia,Ammotragus lervia
Ammotragus tragelaphus,Ammotragus lervia
Ammotragus lervia ornatus,Ammotragus lervia ornatus
Ammotragus lervia ornata,Ammotragus lervia ornatus
Anathana wroughtoni,Anathana ellioti
Tupaia Elliotti,Anathana ellioti
Graomys olrogi,Andalgalomys olrogi
Graomys pearsoni,Andalgalomys pearsoni
Graomys roigi,Andalgalomys roigi
Andinomys lineicaudatus,Andinomys edax lineicaudatus
Anomalurops beecrofti,Anomalurus beecrofti
Anomalurops beecrofti argenteus,Anomalurus beecrofti argenteus
Anomalurops beecrofti beecrofti,Anomalurus beecrofti beecrofti
Anomalurops beecrofti chapini,Anomalurus beecrofti chapini
Anomalurops beecrofti citrinus,Anomalurus beecrofti citrinus
Anomalurus derbianus fulgens,Anomalurus beecrofti fulgens
Anomalurus laniger,Anomalurus beecrofti laniger
Anomalurus schoutedeni,Anomalurus beecrofti schoutedeni
Anomalurus neavei,Anomalurus derbianus
Pteromys derbianus,Anomalurus derbianus
Anomalurus beldeni,Anomalurus derbianus beldeni
Anomalurus fulgens chrysophaenus,Anomalurus derbianus chrysophaenus
Anomalurus chrysophaenus,Anomalurus derbianus chrysophaenus
Anomalurus cinereus,Anomalurus derbianus cinereus
Anomalurus erythronotus,Anomalurus derbianus erythronotus
Anomalurus jacksoni fortior,Anomalurus derbianus fortior
Anomalurus fraseri,Anomalurus derbianus fraseri
Anomalurus fraseri griselda,Anomalurus derbianus griselda
Anomalurus imperator,Anomalurus derbianus imperator
Anomalurus jacksoni,Anomalurus derbianus jacksoni
Anomalurus fraseri jacksoni,Anomalurus derbianus jacksoni
Anomalurus jacksoni jordani,Anomalurus derbianus jordani
Anomalurus fraseri laticeps,Anomalurus derbianus laticeps
Anomalurus neavei,Anomalurus derbianus neavei
Anomalurus fraseri nigrensis,Anomalurus derbianus nigrensis
Anomalurus orientalis,Anomalurus derbianus orientalis
Anomalurus jacksoni perustus,Anomalurus derbianus perustus
Anomalurus auzembergeri,Anomalurus pelii auzembergeri
Lonchophylla cadenai?,Anoura cadenai
Glossophaga caudifera,Anoura caudifer
Anoura caudifera,Anoura caudifer
Anoura aequatoris,Anoura caudifer aequatoris
Lonchoglossa wiedii aequatoris,Anoura caudifer aequatoris
Anoura ecaudata,Anoura caudifer ecaudata
Glossophaga ecaudata,Anoura caudifer ecaudata
Anoura brevirostrum,Anoura cultrata brevirostrum
Anoura werckleae,Anoura cultrata werckleae
Glossophaga apolinari,Anoura geoffroyi apolinari
Anoura wiedii,Anoura geoffroyi geoffroyi
Glossonycteris lasiopyga,Anoura geoffroyi lasiopyga
Anoura peruana,Anoura geoffroyi peruana
Anoura wiedii,Anoura geoffroyi wiedii
Anourosorex squamipes assamensis,Anourosorex assamensis
Anourosorex squamipes schmidi,Anourosorex schmidi
Anourosorex assamensis capito,Anourosorex squamipes capito
Anourosorex squamipes yamashinai,Anourosorex yamashinai
Sminthopsis laniger,Antechinomys laniger
Sminthopsis laniger laniger,Antechinomys laniger laniger
Sminthopsis laniger spenceri,Antechinomys laniger spenceri
Antechinus stuartii adusta,Antechinus adustus
Antechinus flavipes adusta,Antechinus adustus
Antechinus stuartii agilis,Antechinus agilis
Antechinus bellus flavipes,Antechinus flavipes
Antechinus stuartii burrelli,Antechinus flavipes burrelli
Phascogale flavipes,Antechinus flavipes flavipes
Phascogale leucogaster,Antechinus flavipes leucogaster
Phascogale rufogaster,Antechinus flavipes rufogaster
Phascogale godmani,Antechinus godmani
Dasyurus minimus,Antechinus minimus
Phascogale affinis,Antechinus minimus affinis
Antechinus concinnus,Antechinus minimus concinnus
Antechinus swaynsonii maritima,Antechinus minimus maritima
Antechinus rolandensis,Antechinus minimus rolandensis
Antechinus burrelli,Antechinus stuartii burrelli
Phascogale flavipes,Antechinus stuartii flavipes
Antechinus unicolor,Antechinus stuartii unicolor
Phascogale swainsonii,Antechinus swainsonii
Antechinus moorei assimilis,Antechinus swainsonii assimilis
Phascogale swainsonii mimetes,Antechinus swainsonii mimetes
Antechinus moorei,Antechinus swainsonii moorei
Antechinus niger,Antechinus swainsonii niger
Antidorcas angolensis,Antidorcas marsupialis angolensis
Antilope dorsata,Antidorcas marsupialis dorsata
Antilope saliens,Antidorcas marsupialis saliens
Antilope saltans,Antidorcas marsupialis saltans
Antilocapra furcifer,Antilocapra americana
Antilope palmata,Antilocapra americana
Antilocapra anteflexa,Antilocapra americana anteflexa
Capra cervicapra,Antilope cervicapra
Antilope bezoartica,Antilope cervicapra bezoartica
Antilope bilineata,Antilope cervicapra bilineata
Antilope centralis,Antilope cervicapra centralis
Antilope hagenbecki,Antilope cervicapra hagenbecki
Antilope rajputanae,Antilope cervicapra rajputanae
Antilope rupicapra,Antilope cervicapra rupicapra
Cemas strepsiceros,Antilope cervicapra strepsiceros
Antrozous pallidus,Antrozous pallidus
Antrozous bunkeri,Antrozous pallidus bunkeri
Antrozous koopmani,Antrozous pallidus koopmani
Antrozous minor,Antrozous pallidus minor
Antrozous pallidus obscurus,Antrozous pallidus obscurus
Anahyster calabaricus,Aonyx capensis
Anahyster calabaricus,Aonyx capensis calaboricus
Aonyx delalandi,Aonyx capensis delalandi
Aonyx inunguis,Aonyx capensis inunguis
Lutra lenoiri,Aonyx capensis lenoiri
Amblonyx cinereus,Aonyx cinerea
Amblonyx horsfieldi,Aonyx cinerea
Lutra cinerea,Aonyx cinerea cinerea
Amblonyx concolor,Aonyx cinerea concolor
Amblonyx cinereus cinereus,Aonyx cinerea fulvus
Lutra indigitatus,Aonyx cinerea indigitatus
Amblonyx leptonyx,Aonyx cinerea leptonyx
Aonyx leptonyx,Aonyx cinerea leptonyx
Amblonyx cinereus nirnai,Aonyx cinerea nirnai
Aonyx sikimensis,Aonyx cinerea sikimensis
Lutra swinhoei,Aonyx cinerea swinhoei
Amblonyx cinereus wurmbi,Aonyx cinerea wurmbi
Paraonyx congica,Aonyx congicus
Paraonyx microdon,Aonyx congicus microdon
Paraonyx phillipsi,Aonyx congicus philippsi
Aonyx capensis poensis,Aonyx congicus poensis
Aotus tripartitus azarai,Aotus azarae
Simia azarae,Aotus azarae
Aotus azarae azarae,Aotus azarae azarae
Aotus boliviensis,Aotus azarae boliviensis
Aotus miriquouina,Aotus azarae miriquouina
Aotus lemurinus brumbacki,Aotus brumbacki
Aotus azarai infulatus,Aotus infulatus
Aotus azarae infulatus,Aotus infulatus
Nyctipithecus commersoni,Aotus infulatus commersoni
Nyctipithecus felinus,Aotus infulatus felina
Aotus roberti,Aotus infulatus roberti
Aotus azarai lemurinus,Aotus lemurinus
Aotus aversus,Aotus lemurinus aversus
Aotus bipunctatus,Aotus lemurinus bipunctatus
Aotus trivirgatus griseimembra,Aotus lemurinus griseimembra
Aotus lanius,Aotus lemurinus lanius
Aotus pervigilis,Aotus lemurinus perviglis
Nyctipithecus villosus,Aotus lemurinus villosus
Aotus zonalis,Aotus lemurinus zonalis
Aotus nancymae,Aotus nancymaae
Nyctipithecus rufipes,Aotus nigriceps
Nyctipithecus trivirgatus,Aotus trivirgatus
Nyctipithecus rufipes,Aotus trivirgatus rufipes
Aotus spixi,Aotus trivirgatus spixi
Nyctipithecus vociferans,Aotus vociferans
Aotus gularis,Aotus vociferans gularis
Aotus microdon,Aotus vociferans microdon
Aotus oseryi,Aotus vociferans oseryi
Aotus senex,Aotus vociferans senex
Aplodontia major,Aplodontia rufa
Haplodontia rufa,Aplodontia rufa
Aplodontia californica,Aplodontia rufa californica
Aplodontia chryseola,Aplodontia rufa chryseola
Aplodontia columbiana,Aplodontia rufa columbiana
Aplodontia grisea,Aplodontia rufa grisea
Aplodontia humboldtiana,Aplodontia rufa humboldtiana
Aplodontia major,Aplodontia rufa major
Aplodontia nigra,Aplodontia rufa nigra
Aplodontia olympica,Aplodontia rufa olympica
Aplodontia pacifica,Aplodontia rufa pacifica
Aplodontia phaea,Aplodontia rufa phaea
Aplodontia major rainieri,Aplodontia rufa rainieri
Anisonyx ? Rufa,Aplodontia rufa rufa
Mus agrarius,Apodemus agrarius
Mus agrarius albostriatus,Apodemus agrarius albostriatus
Apodemus agrarius ognevi caucasicus,Apodemus agrarius caucasicus
Mus harti,Apodemus agrarius harti
Mus agrarius maculatus,Apodemus agrarius maculatus
Mus agrarius mantchuricus,Apodemus agrarius mantchuricus
Apodemus agrarius ningopoensis,Apodemus agrarius ningpoensis
Mus rubens,Apodemus agrarius rubens
Apodemus flavicollis alpicola,Apodemus alpicola
Apodemus flavicollis alpinus,Apodemus alpicola alpinus
Apodemus geisha,Apodemus argenteus
Apodemus geisha geisha,Apodemus argenteus argenteus
Apodemus geisha celatus,Apodemus argenteus celatus
Apodemus sylvaticus celatus,Apodemus argenteus celatus
Apodemus geisha geisha,Apodemus argenteus geisha
Apodemus geisha hokkaidi,Apodemus argenteus hokkaidi
Apodemus geisha sagax,Apodemus argenteus sagax
Apodemus geisha tanei,Apodemus argenteus tanei
Apodemus geisha yakui,Apodemus argenteus yakui
Apodemus agrarius chevrieri,Apodemus chevrieri
Apodemus fergussoni,Apodemus chevrieri fergussoni
Apodemus sylvaticus draco,Apodemus draco
Mus sylvaticus draco,Apodemus draco
Apodemus ilex,Apodemus draco ilex
Apodemus sylvaticus orestes,Apodemus draco orestes
Apodemus orestes,Apodemus draco orestes
Apodemus mystacinus epimelas,Apodemus epimelas
Mus cellarius,Apodemus flavicollis
Apodemus sylvaticus arianus,Apodemus flavicollis arianus
Sylvaemus arianus,Apodemus flavicollis arianus
Apodemus brauneri,Apodemus flavicollis brauneri
Mus cellarius,Apodemus flavicollis cellarius
Apodemus tauricus dietzi,Apodemus flavicollis dietzi
Apodemus sylvaticus erythronotus,Apodemus flavicollis erythronotus
Apodemus arianus erythronotus,Apodemus flavicollis erythronotus
Apodemus sylvaticus fennicus,Apodemus flavicollis fennicus
Apodemus tauricus geminae,Apodemus flavicollis geminae
Mus sylvaticus princeps,Apodemus flavicollis princeps
Mus sylvaticus wintoni,Apodemus flavicollis wintoni
Apodemus sylvaticus fulvipectus,Apodemus fulvipectus
Apodemus sylvaticus chorassanicus,Apodemus fulvipectus chorassanicus
Apodemus chorassanicus,Apodemus fulvipectus chorassanicus
Apodemus falzfeini,Apodemus fulvipectus falzfeini
Sylvimus fulvipectus planicola,Apodemus fulvipectus planicola
Apodemus fulvipectus saxatilis,Apodemus fulvipectus saxatilis
Apodemus flavicollis gurkha,Apodemus gurkha
Apodemus iconicus hermonensis,Apodemus hermonensis
Apodemus sylvaticus iconicus,Apodemus hermonensis iconicus
Apodemus iconicus,Apodemus hermonensis iconicus
Sylvaemus hyrcanicus,Apodemus hyrcanicus
Apodemus speciosus latronum,Apodemus latronum
Sylvaemus mystacinus,Apodemus mystacinus
Sylvaemus mystacinus euxinus,Apodemus mystacinus euxinus
Apodemus pohlei,Apodemus mystacinus pohlei
Apodemus sylvaticus pallipes,Apodemus pallipes
Mus sylvaticus pallipes,Apodemus pallipes
Apodemus sylvaticus bushengensis,Apodemus pallipes bushengensis
Apodemus wardi bushengensis,Apodemus pallipes bushengensis
Apodemus sylvaticus pentax,Apodemus pallipes pentax
Micromys sylvaticus pentax,Apodemus pallipes pentax
Apodemus sylvaticus wardi,Apodemus palllipes wardi
Micromys svlvaticus wardi,Apodemus palllipes wardi
Apodemus flavicollis peninsulae,Apodemus peninsulae
Apodemus giliacus,Apodemus peninsulae giliacus
Micromys speciosus giliacus,Apodemus peninsulae giliacus
Apodemus speciosus major,Apodemus peninsulae major
Sylvimus sylvaticus majusculus,Apodemus peninsulae majusculus
Apodemus sylvaticus nigritalus,Apodemus peninsulae nigritalus
Apodemus flavicollis nigritalus,Apodemus peninsulae nigritalus
Apodemus praetor,Apodemus peninsulae praetor
Mus major rufulus,Apodemus peninsulae rufulus
Apodemus flavicollis ponticus,Apodemus ponticus
Apodemus tauricus argyropuloi,Apodemus ponticus argyropuloi
Sylvaemus flavicollis ponticus brevicauda,Apodemus ponticus brevicauda
Apodemus (Sylvimus) flavicollis parvus,Apodemus ponticus parvus
Apodemus flavicollis samariensis,Apodemus ponticus samariensis
Apodemus sylvaticus rusiges,Apodemus rusiges
Apodemus griseus,Apodemus rusiges griseus
Apodemus draco semotus,Apodemus semotus
Apodemus ainu,Apodemus speciosus ainu
Apodemus miyakensis,Apodemus speciosus miyakensis
Apodemus navigator,Apodemus speciosus navigator
Apodemus navigator tusimaensis,Apodemus speciosus tusimaensis
Sylvaemus sylvaticus,Apodemus sylvaticus
Apodemus sylvaticus sylvaticus albus,Apodemus sylvaticus albus
Mus musculus algirus,Apodemus sylvaticus algirus
Mus sylvaticus alpinus,Apodemus sylvaticus alpinus
Apodemus argentinus,Apodemus sylvaticus argentinus
Apodemus bergensis,Apodemus sylvaticus bergensis
Apodemus butei,Apodemus sylvaticus butei
Micromys sylvaticus callipides,Apodemus sylvaticus callipides
Apodemus hebridensis cumbrae,Apodemus sylvaticus cumbrae
Apodemus sylvaticus dichrurus,Apodemus sylvaticus dichruroides
Musculus dichrurus,Apodemus sylvaticus dichrurus
Apodemus hebridensis fiolagan,Apodemus sylvaticus fiolagan
Sylvaemus sylvaticus flaviventris,Apodemus sylvaticus flaviventris
Apodemus fridariensis,Apodemus sylvaticus fridariensis
Mus svlvaticus fridariensis,Apodemus sylvaticus fridariensis
Apodemus hebridensis ghia,Apodemus sylvaticus ghia
Apodemus fridariensis granti,Apodemus sylvaticus granti
Mus sylvaticus griseus,Apodemus sylvaticus griseus
Apodemus hebridensis hamiltoni,Apodemus sylvaticus hamiltoni
Mus hayi,Apodemus sylvaticus hayi
Apodemus hebridensis,Apodemus sylvaticus hebridensis
Mus hebridensis,Apodemus sylvaticus hebridensis
Sylvaemus sylvaticus sylvaticus hessei,Apodemus sylvaticus hessei
Mus hirtensis,Apodemus sylvaticus hirtensis
Apodemus flavicollis hirtensis,Apodemus sylvaticus hirtensis
Mus intermedius,Apodemus sylvaticus intermedius
Apodemus sylvaticus icelandicus,Apodemus sylvaticus islandicus
Apodemus krkensis,Apodemus sylvaticus krkensis
Apodemus hebridensis larus,Apodemus sylvaticus larus
Apodemus sylvaticus sylvaticus leucocephalus,Apodemus sylvaticus leucocephalus
Apodemus hebridensis maclean,Apodemus sylvaticus maclean
Mus sylvaticus maximus,Apodemus sylvaticus maximus
Apodemus hebridensis nesiticus,Apodemus sylvaticus nesiticus
Mus niger,Apodemus sylvaticus niger
Mus parvus,Apodemus sylvaticus parvus
Mus pecchioli,Apodemus sylvaticus pecchioli
Apodemus sylvaticus pentas,Apodemus sylvaticus pentax
Sylvaemus sylvaticus ciscaucasicus praestans,Apodemus sylvaticus praestans
Mus reboudia,Apodemus sylvaticus reboudia
Apodemus stankovici,Apodemus sylvaticus stankovici
Chersonesus tauricus,Apodemus sylvaticus tauricus
Apodemus tauricus,Apodemus sylvaticus tauricus
Apodemus fridariensis thuleo,Apodemus sylvaticus thuleo
Apodemus hebridensis tirae,Apodemus sylvaticus tirae
Apodemus hebridensis tural,Apodemus sylvaticus tural
Mus varius,Apodemus sylvaticus varius
Apodemus sylvaticus uralensis,Apodemus uralensis
Apodemus sylvaticus baessleri,Apodemus uralensis baessleri
Apodemus sylvaticus balchaschensis,Apodemus uralensis balchaschensis
Sylvimus sylvaticus charkovensis,Apodemus uralensis charkovensis
Apodemus sylvaticus ciscaucasicus,Apodemus uralensis ciscaucasicus
Apodemus microps,Apodemus uralensis microps
Apodemus sylvaticus microtis,Apodemus uralensis microtis
Apodemus sylvaticus mosquensis,Apodemus uralensis mosquensis
Apodemus sylvaticus nankiangensis,Apodemus uralensis nankiangensis
Apodemus arianus pallidus,Apodemus uralensis pallidus
Apodemus sylvaticus tokmak,Apodemus uralensis tokmak
Apodemus peninsulae tscherga,Apodemus uralensis tscherga
Mus tscherga,Apodemus uralensis tscherga
Apodemus sylvaticus vohlynensis,Apodemus uralensis vohlynensis
Apodemus sylvaticus witherbyi,Apodemus witherbyi
Apomys camiguenensis,Apomys camiguinensis
Apomys major,Apomys datae
Rattus datae,Apomys datae
Apomys major,Apomys datae major
Apomys hylocoetes,Apomys hylocetes
Apomys hylocoetes hylocoetes,Apomys hylocetes hylocetes
Apomys petraeus,Apomys hylocetes petraeus
Rattus insignis,Apomys insignis
Apomys bardus,Apomys insignis bardus
Rattus insignis insignis,Apomys insignis insignis
Rattus littoralis,Apomys littoralis
Apomys hollisteri,Apomys microdon
Apomys hollisteri,Apomys microdon hollisteri
Phenacomys albipes,Arborimus albipes
Phenacomys longicaudus,Arborimus longicaudus
Phenacomys silvicola,Arborimus longicaudus silvicola
